label,count
I-PERSON,584
I-DATE,417
I-PRO_THEORY,301
I-PRO_CLASS,249
I-COUNT,242
I-PERIOD,235
I-PRO_LANGUAGE,216
I-NATION,192
I-YEAR,186
I-ORG_POLITICAL,169
I-LOC_COUNTRY,162
I-LOC,159
I-PRO_RULE,137
B-PERSON,133
I-LOC_CITY,128
B-ELEMENT,125
I-MEASUREMENT,118
I-OTH,103
B-PRO_THEORY,101
I-PER,101
I-ELEMENT,96
B-PRO_LANGUAGE,95
I-POSITION_ROLE,89
I-PRO_SERVICE,87
I-PRO_MATERIAL,85
I-ORG,84
B-PRO_FOOD,81
I-LOC_REGION,75
I-EVENT,73
I-FAC_SCHOOL,73
I-TITLE,67
I-ARCHITECTURE,62
I-ORG_CORPORATION,55
I-PRO_FOOD,53
B-NATION,52
I-TV-PROGRAM,50
I-PERCENT,50
I-PRO_CULTURE,50
I-PRO_OFFENCE,49
B-PRO_CLASS,48
I-COORDINATE,48
I-PRO_ART,48
I-LOC_GEO,45
B-LOC_CITY,42
I-DISTANCE,41
I-WAR,40
I-TEXT,37
B-YEAR,37
I-POPULATION,37
I-TIME,37
I-ACT,34
B-LOC,33
I-LIST,33
I-LOC_ADDRESS,31
I-PRO_RELIGION,28
B-LOC_COUNTRY,27
I-LOC_PROVINCE,27
I-PRO_MOVEMENT,27
I-PRO_AWARD,27
B-PRO_MATERIAL,26
B-LOC_GEO,25
I-AREA,23
I-ORG_ETHNIC,23
B-ORG_POLITICAL,23
I-LOC_ASTRAL,21
I-FREQUENCY,21
B-PRO_SERVICE,20
B-PERIOD,19
I-ORG_TERROR,19
I-DURATION,18
I-PRO_VEHICLE,18
I-PHYSICAL_EXTEND,17
B-PER,17
I-MONEY,17
B-COUNT,17
I-DISEASE,17
I-MONUMENT,17
I-ERA,16
B-DATE,16
B-PRO_CULTURE,15
B-DISTANCE,14
I-COMPOUND,14
I-TEMPERATURE,13
B-TITLE,13
B-PRO_RULE,13
B-LOC_ADDRESS,13
B-MEASUREMENT,12
I-DISASTER,12
B-FAC_SCHOOL,12
I-HEIGHT,11
I-FESTIVAL,11
I-PRO_PLAN,10
I-ORDINAL,10
B-LOC_PROVINCE,9
B-PRO_ART,9
B-POSITION_ROLE,9
B-TV-PROGRAM,8
B-ORG_ETHNIC,8
I-KINGDOM,8
I-SEISMIC,7
B-PHYSICAL_EXTEND,7
I-null,7
I-AGE,7
I-PRO_STYLE,6
B-LOC_ASTRAL,6
I-FAC_RELIGIOUS,6
I-ORG_FAMILY,6
B-PRO_VEHICLE,6
I-PRO_WEAPON,6
B-LOC_REGION,5
B-AREA,5
B-POPULATION,5
B-ORG,5
I-PRO_SPORT,5
I-GOD,4
B-EVENT,4
I-LOC_DIV,4
I-FAC_MUSEUM,4
B-OTH,4
I-AGREEMENT,3
B-COORDINATE,3
I-PRO_ID,3
B-LIST,3
I-FAC_AIRPORT,3
B-ARCHITECTURE,3
B-MONUMENT,3
B-GOD,3
B-PRO_SPORT,3
B-WAR,3
I-VOLUME,2
I-MINERAL,2
B-TEMPERATURE,2
B-ACT,2
I-FAC_PARK,2
I-FAC_STATION,2
I-CONFERENCE,2
B-ORG_TERROR,2
I-SCHOOL_AGE,2
I-LINE_ROAD,2
B-TEXT,2
B-PRO_OFFENCE,2
B-ORG_CORPORATION,2
B-PRO_WEAPON,2
I-COLOR,2
I-INTENSITY,2
B-PRO_AWARD,2
B-DISASTER,2
I-SPACE,1
B-HEIGHT,1
B-PERCENT,1
I-PRO_LAW,1
I-FLORA,1
B-FLORA,1
I-PRO_MAGAZINE,1
B-PRO_RELIGION,1
B-FAC_RELIGIOUS,1
B-PRO_MOVEMENT,1
B-PRO_ID,1
I-LINE_BRIDGE,1
I-PRO_CLOTHING,1
B-COMPOUND,1
