entity_type,count
PERSON,717
DATE,433
PRO_THEORY,402
PRO_LANGUAGE,311
PRO_CLASS,297
COUNT,259
PERIOD,254
NATION,244
YEAR,223
ELEMENT,221
LOC,192
ORG_POLITICAL,192
LOC_COUNTRY,189
LOC_CITY,170
PRO_RULE,150
PRO_FOOD,134
MEASUREMENT,130
PER,118
PRO_MATERIAL,111
PRO_SERVICE,107
OTH,107
POSITION_ROLE,98
ORG,89
FAC_SCHOOL,85
LOC_REGION,80
TITLE,80
EVENT,77
LOC_GEO,70
PRO_CULTURE,65
ARCHITECTURE,65
TV-PROGRAM,58
PRO_ART,57
ORG_CORPORATION,57
DISTANCE,55
COORDINATE,51
PERCENT,51
PRO_OFFENCE,51
LOC_ADDRESS,44
WAR,43
POPULATION,42
TEXT,39
TIME,37
LOC_PROVINCE,36
ACT,36
LIST,36
ORG_ETHNIC,31
PRO_RELIGION,29
PRO_AWARD,29
AREA,28
PRO_MOVEMENT,28
LOC_ASTRAL,27
PHYSICAL_EXTEND,24
PRO_VEHICLE,24
ORG_TERROR,21
FREQUENCY,21
MONUMENT,20
DURATION,18
MONEY,17
DISEASE,17
ERA,16
TEMPERATURE,15
COMPOUND,15
DISASTER,14
HEIGHT,12
FESTIVAL,11
PRO_PLAN,10
ORDINAL,10
KINGDOM,8
PRO_WEAPON,8
PRO_SPORT,8
SEISMIC,7
GOD,7
null,7
AGE,7
FAC_RELIGIOUS,7
PRO_STYLE,6
ORG_FAMILY,6
PRO_ID,4
LOC_DIV,4
FAC_MUSEUM,4
AGREEMENT,3
FAC_AIRPORT,3
VOLUME,2
MINERAL,2
FLORA,2
FAC_PARK,2
FAC_STATION,2
CONFERENCE,2
SCHOOL_AGE,2
LINE_ROAD,2
COLOR,2
INTENSITY,2
SPACE,1
PRO_LAW,1
PRO_MAGAZINE,1
LINE_BRIDGE,1
PRO_CLOTHING,1
